fitprivate_orgId	include	scope_class	decision_reason
acidovorax_3H11	yes	enigma_isolate	ENIGMA isolate strain
Btheta	no	reference_or_laboratory_strain	Bacteroides thetaiotaomicron VPI-5482 is not an ENIGMA isolate strain
Brev2	yes	enigma_isolate	ENIGMA isolate strain
Castellaniella_MT123	yes	enigma_isolate	ENIGMA isolate strain
Collimonas_GW821-FHT01A05	yes	enigma_isolate	ENIGMA isolate strain
Cup4G11	yes	enigma_isolate	ENIGMA isolate strain
Enterobacter_XG201	yes	enigma_isolate	ENIGMA isolate strain
Janthino_FHT05C05	yes	enigma_isolate	ENIGMA isolate strain
Janthinobacterium_agari	yes	enigma_isolate	ENIGMA isolate strain
Keio	no	reference_or_laboratory_strain	Escherichia coli BW25113 is not an ENIGMA isolate strain
MT049	yes	enigma_isolate	ENIGMA isolate strain
MT058	yes	enigma_isolate	ENIGMA isolate strain
Pedo557	yes	enigma_isolate	ENIGMA isolate strain
Phaga5	yes	enigma_isolate	ENIGMA isolate strain
PseudoFW215-L2	yes	enigma_isolate	ENIGMA isolate strain
Putida	no	reference_or_laboratory_strain	Pseudomonas putida KT2440 is not an ENIGMA isolate strain
Rhodanobacter_MT42	yes	enigma_isolate	ENIGMA isolate strain
pseudo13_GW456_L13	yes	enigma_isolate	ENIGMA isolate strain
pseudo1_N1B4	yes	enigma_isolate	ENIGMA isolate strain
pseudo3_N2E3	yes	enigma_isolate	ENIGMA isolate strain
pseudo5_N2C3_1	yes	enigma_isolate	ENIGMA isolate strain
pseudo6_N2E2	yes	enigma_isolate	ENIGMA isolate strain
rhodanobacter_10B01	yes	enigma_isolate	ENIGMA isolate strain
rhodanobacter_R12	yes	enigma_isolate	ENIGMA isolate strain
rhodanobacter_T8	yes	enigma_isolate	ENIGMA isolate strain
