source_namespace	fitprivate_orgId	fitprivate_organism	scaffold_count	total_bases	gene_count	xref_count	source_assembly_sha256	source_annotation_structure_sha256	source_annotation_metadata_sha256	experiment_count	gene_fitness_count	distinct_mutant_library_count	mutant_libraries_json	sdt_strain_id	sdt_strain_name	match_basis	coral_match_live_status	coral_match_live_checked_at	edr_inventory_status	edr_inventory_checked_at	edr_active_versions_json	edr_withdrawn_versions_json	source_fingerprint_status	exact_match_status	exact_match_location	reused_edr_version	allocated_edr_version	target_coral_genome_name	export_status	edr_publication_status	coral_genome_import_status	validation_status	notes
enigma.fitprivate	Brev2	Brevundimonas sp. GW460-12-10-14-LB2	1	3263775	3274	3034	2d8ca07018db594b28cc9acf9bb004d5c17fbf1b8f32366617afe1e3a0c297fb	d45888d270643ae9b5ac15c930742c9514099aa874aa495f3a7256988d80c025	d1cf26e9bd4e7dcc5687b897e0aa5782d23e434f664447a625b8d89cb41b34d1	38	90972	1	"[""Brev2_ML6a""]"	Strain0000324	GW460-12-10-14-LB2	current display name; obsolete orgId	verified	2026-08-11T23:09:15.247878+00:00	complete	2026-08-12T18:01:02.210375+00:00	[1, 3]	[]	complete	no_exact_match			GW460-12-10-14-LB2.4	GW460-12-10-14-LB2.4	complete	pending	pending	pending	
enigma.fitprivate	Castellaniella_MT123	Castellaniella sp019104865 MT123	1	3366678	3179	0	c7a218dd86b0bee01e8b37afc6cf11665775e86e0c296d02553b795a5810c81a	332d00f3cf9125d7d770958b1a1b86492c034233aa07c936abd461ca00ea4771	497c684cad12ef8e608bd0a9affcc16d011f761d23b4a85bfd588b81962c8bd3	199	480983	1	"[""Castellaniella_MT123_ML3""]"	Strain0000672	MT123	current display name; obsolete orgId	verified	2026-08-11T23:09:15.247878+00:00	complete	2026-08-12T18:01:02.210375+00:00	[1, 2, 3, 4]	[]	complete	no_exact_match			MT123.5	MT123.5	complete	pending	pending	pending	
enigma.fitprivate	Collimonas_GW821-FHT01A05	Collimonas humicola GW821-FHT01A05	1	5792590	5057	0	dcf9853ed330ce49ff272611a9871c56fccbc147a468058b9efd3bc7a71ae09f	58dd1a409a204284284b10505925f4cfdeb2ae0e0d13b8bc7e37ff936a6f0511	6a79aa85779c03ec89cebe7e36e99f4b3935fff0a15131358624de92a022405f	115	499790	1	"[""Collimonas_GW821-FHT01A05_ML4""]"	Strain0001267	GW821-FHT01A05	current display name	verified	2026-08-11T23:09:15.247878+00:00	complete	2026-08-12T18:01:02.210375+00:00	[1, 3]	[]	complete	no_exact_match			GW821-FHT01A05.4	GW821-FHT01A05.4	complete	pending	pending	pending	
enigma.fitprivate	Cup4G11	Cupriavidus basilensis FW507-4G11	2	8421483	7449	6716	0478c329e4b5f165bb728efe869591b6886f5f4f7800226a102421d15e163ec3	afd0380936533ab87b87ddb8308f1a4710a62c45ca84c035447d0442f3a48a92	5a7d7adf28be8fd3a3f5097877da10a467a436066be6488b5ca06811bf4ba4a9	243	1551312	4	"[""cupriavidus_4G11_ML11"", ""cupriavidus_4G11_ML11_FieldsLab"", ""cupriavidus_4G11_ML11_JBEI"", ""cupriavidus_4G11_ML11a""]"	Strain0000132	FW507-4G11	current display name; obsolete orgId	verified	2026-08-11T23:09:15.247878+00:00	complete	2026-08-12T18:01:02.210375+00:00	[1, 2, 3]	[]	complete	no_exact_match			FW507-4G11.4	FW507-4G11.4	complete	pending	pending	pending	
enigma.fitprivate	Enterobacter_XG201	Enterobacter wanjuensis EB106-05-01-XG201	3	4972118	4581	0	25910c502ef06074a61dd3070c3e615299eaf50b8985bed7cb5eb23fc35a8aa0	13ddced82a4d08059aac2b8c2b0ab4d6a0ccdda2ba3322abde14dda92cec4c37	1c6fe55892e418094e2dc0d1049a0d17215e3be31acf1d2eb07dad417b3de0d3	31	121985	1	"[""Enterobacter_XG201_ML2""]"	Strain0000834	EB106-05-01-XG201	current display name	verified	2026-08-11T23:09:15.247878+00:00	complete	2026-08-12T18:01:02.210375+00:00	[1, 3]	[]	complete	no_exact_match			EB106-05-01-XG201.4	EB106-05-01-XG201.4	complete	pending	pending	pending	
enigma.fitprivate	Janthino_FHT05C05	Janthinobacterium sp. GW822-FHT05C05	12	6406724	5707	0	eda8070d9ebc4a703ae5de819e67f23873a31a35a5b40f816a2b408953a6fbbe	0a19fcfde5c5907e8130f7c2164464b098950601c55b73bf5af89160b19363e8	2b8404dd4428e1147e334d4209f8cf1ecd9a404b6e07f70c9d819d0107a2c5d8	12	54828	1	"[""Janthino_FHT05C05_ML1""]"	Strain0001343	GW822-FHT05C05	current display name	verified	2026-08-11T23:09:15.247878+00:00	complete	2026-08-12T18:01:02.210375+00:00	[1, 2]	[]	complete	no_exact_match			GW822-FHT05C05.3	GW822-FHT05C05.3	complete	pending	pending	pending	
enigma.fitprivate	Janthinobacterium_agari	Janthinobacterium sp. GW823-FHT01H08	1	6133315	5441	0	4a5417dd83a74a9aaa469f341427b639456f9ab1cffc7f2f150ba2abbc954529	4e48b86014bc5b6eb3b19dad4138e61bef0b5936a65499c53de1d4dd469ac590	eec3a8d01ee6898a19287edcb01e9a3ad95b0aa6f89c3c22321653084faa292d	12	53664	1	"[""Janthinobacterium_agari_ML9""]"	Strain0001203	GW823-FHT01H08	current display name; obsolete orgId	verified	2026-08-11T23:09:15.247878+00:00	complete	2026-08-12T18:01:02.210375+00:00	[1, 2, 3]	[]	complete	no_exact_match			GW823-FHT01H08.4	GW823-FHT01H08.4	complete	pending	pending	pending	
enigma.fitprivate	MT049	Serratia liquefaciens MT49	1	5395544	5043	0	9ff6e82e8accfa3571b0ee03441ed2a57277b65c93d0aa328cd33f73ee7724d6	0350458252d508db1855fd2acfb0a996c637c3268508e26cff442de835f097b9	bc6c613ee9494a2d30f12c62ff1a4b579a90be9c16a4d653b6f00a129820e5fd	112	483504	1	"[""MT049_ML3""]"	Strain0000667	MT49	current display name; obsolete orgId	verified	2026-08-11T23:09:15.247878+00:00	complete	2026-08-12T18:01:02.210375+00:00	[1, 2, 3]	[]	complete	no_exact_match			MT49.4	MT49.4	complete	pending	pending	pending	
enigma.fitprivate	MT058	Pantoea sp. MT58	4	4675847	4370	0	a23cec4e59b81d43c8f6b93cbc5a803fed0dea3feb3db854191116851c8c7940	0760ae55ba10ef905922fcd7514a44229baa602ea241a019780a2671cc33304b	fd678e16506d805473a7ddbbd89cde7ae861aded32c8724030605324e7c9fd61	377	1440140	1	"[""MT058_ML2""]"	Strain0000666	MT58	current display name; obsolete orgId	verified	2026-08-11T23:09:15.247878+00:00	complete	2026-08-12T18:01:02.210375+00:00	[1, 2]	[]	complete	no_exact_match			MT58.3	MT58.3	complete	pending	pending	pending	
enigma.fitprivate	Pedo557	Pedobacter sp. GW460-11-11-14-LB5	1	6182066	5089	4938	e2a63c2ba4f589eb81bbb492ceaf3735460c5e02232f9db9cc8bcbd5ab94f619	d60cb3daa663dcfa7806b4a845d2c88342c301e3ab471cc38193b3406d64e3b4	7ac916a4ebaadcb1709300fd6370182ba81d7f0447ce36d9cc5b04cbb31fcb58	185	818255	1	"[""Pedo557_ML3""]"	Strain0000621	GW460-11-11-14-LB5	current display name; obsolete orgId	verified	2026-08-11T23:09:15.247878+00:00	complete	2026-08-12T18:01:02.210375+00:00	[1, 2]	[]	complete	no_exact_match			GW460-11-11-14-LB5.3	GW460-11-11-14-LB5.3	complete	pending	pending	pending	
